,log_realized_variance,log_return,gtrend_pct_change,blockchain_diff_log_n_transactions,blockchain_diff_log_transaction_fee_usd,blockchain_diff_log_n_unique_addresses,blockchain_diff_log_transaction_volume_usd,log_volume,gold_close_ret,silver_close_ret,brent_close_ret,dji_close_ret,spx_close_ret,rut_close_ret,nasdaq_close_ret,usdcny_close_ret,usdeur_close_ret,gold_volume_chg,silver_volume_chg,brent_volume_chg,dji_volume_chg,spx_volume_chg,rut_volume_chg,nasdaq_volume_chg,vix_close_chg,hash-rate_chg,difficulty_chg,median-confirmation-time_chg,blockchain_log_mempool_count_chg
t-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.802156494556362e-05,0.0,0.0,0.0,0.0,0.0,0.0002888550876097551
t-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001419931512713664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.056551259839843e-05,0.0,0.0
t-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002366965201621945,0.0,0.0,0.0,0.0,0.0
t-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032347767840203157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-38,0.0,0.0,0.0,0.00027290556692285023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001969423418243837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029025986742854616
t-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93623426534512e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024264951019248345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002933325608296655,0.0
t-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014117989043582006,0.0,0.0,0.0,0.0,0.00023802483856021024,0.0
t-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001894358644258139,0.00029419191086973306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-24,0.0,0.0,0.0,0.0,0.0,0.00031792975552515535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034193550361038107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-23,0.0,0.0,0.0,0.0,0.0,0.00018799973206657883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-22,0.0,0.0,0.0,0.0,0.0,0.0012101041891122084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024456250958508673,0.0,0.0,0.0,0.0,0.0
t-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003002225052045799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021917398772707504,0.0
t-20,0.0007540408562575455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00084788668684787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003440831208404585,0.0,0.0,0.0
t-19,0.0005855269305810669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008561545468988965,0.0003095164133683619,0.000354848649391357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027953923400684817,0.00014165078705141832,0.0,0.0,0.0
t-18,0.0008942450229157559,0.0,0.0,0.0,0.0,0.00020575933952354631,0.0,0.0,0.001015009525253424,0.0,0.0004979012503683188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-17,0.0,0.0,0.0006865873611055701,0.0,0.0,0.0002899099691824427,0.0,0.0,0.00023543501680045538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-16,0.0005223582136068901,0.0,0.0005807950452450779,0.0,0.0,0.00018074248597824193,0.0,0.0,0.0004201313176087406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002862539912191464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t-15,0.0,0.0,0.0003956295526093439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002206247534168658,0.0,0.0,0.0
t-14,0.001111999783898772,0.0,0.0,0.0,0.0,0.0003134126966965699,0.0,0.0,0.00023576605812246796,0.0,0.0,0.0,0.00012727073875724138,0.0,0.0,0.0,0.0,0.0,8.956312108478851e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00041772571417153655,0.0,0.0,0.0
t-13,0.0014618890923219871,0.00019772462563154685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003260765872026326,0.0,0.0,0.0
t-12,0.001021670600766785,0.0,0.0,0.0,0.0,0.0,0.00037281677942093945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039893583240420215,0.0,0.0,0.0,0.0,0.0,0.0002998146424794051,0.0,0.0,0.00010865820384750146,0.0,0.0,0.0,0.0
t-11,0.0,0.0003457179313184733,0.0002281418937441735,0.0,0.0,0.0,0.0,0.0,0.0,0.0008024766518677273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035730979780580486,0.0,0.0,0.0,0.0007335709186178472,0.0,0.0
t-10,0.0,0.0003673589686157814,0.0005725339365106921,0.0,0.0,0.0,0.00035173412728960044,0.0,0.0001896053796732703,0.0,0.0,0.0,0.0,0.0004148434595468744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005033296584038272,0.0,0.0
t-9,0.0001431663800285087,0.0013959776927557539,0.0008002422902345695,0.0,0.0,0.0,0.0009250157965539459,0.0,0.0003439729637466519,0.0003195081549138246,0.0,0.0,0.0,0.0,0.0007468363235534382,0.0,0.0,0.0,0.0,0.0012232181640873272,0.0,0.0,0.0011904559987262774,0.0,0.0,0.0,0.0005566674224091534,0.0,0.00022411962177771195
t-8,0.00048401327057210226,0.0006854364738699482,0.002449583004577336,0.0,0.0,0.001793000546803829,0.0016763982637158087,0.0,0.0,0.0005090796340813281,0.0,0.0,0.0,0.0,0.0006941209952389198,0.0,0.0,0.0,0.0,0.0008814278256162589,0.0,0.0,0.0022652366297261184,0.0,0.0,0.00035546955774120773,0.0004516839620251635,0.0,0.0
t-7,0.0,0.0018441068782119275,0.0015470840660933292,0.0,0.0,0.0022374200499116603,0.0011685864366152514,0.0,0.0011107477876903563,0.0002907861246902226,0.0,0.0,0.0,0.0,0.00021954705039658228,0.0,0.0,0.0,0.0,0.0021374593057915613,0.0,0.0,0.003479148266498148,0.0,0.0,0.00020801983465271054,0.0006289497633392074,0.0,0.0
t-6,0.0004948665944903483,0.00126284142520303,0.003659793191156599,0.0,0.0,0.003766780557641723,0.004606235638778235,0.0,0.000722756134978635,0.0013505484967694795,0.00046421985223957663,0.0,0.0,0.0012098342511365702,0.0007455437257934558,0.0,0.0,0.0,0.0,0.002597894809005803,0.0,0.0,0.004412587164644759,0.0,0.0,0.0006948115656356287,0.0006027559222083283,0.0,0.0
t-5,0.0012414161254122532,0.0005674854319483045,0.0,0.0006137474621674753,0.00021793323849748022,0.009007499493317854,0.007652257815627467,0.0004397764020716677,0.0012921956915896082,0.0020402690349460087,0.0,0.0,0.0,0.00042467284243327116,0.0016308546370350826,0.0014942267067642673,0.0,0.0,0.0012139342002336273,0.001217552378618471,0.0,0.0,0.0028791024625113657,0.0,0.0,0.0018123522369115203,0.00035068883656272164,0.0,0.0
t-4,0.0014316742201752716,0.0011690392934376591,0.0,0.0024308404767891204,0.0,0.010420240957685168,0.005549066133009913,0.0,0.0023349663687084223,0.0023150094701643617,0.0014385495870053056,0.0,0.0,0.0005571582787373777,0.001970327889873784,0.0007970558149109381,0.0,0.0,0.0007133609664133375,0.0035973503317324224,0.0005423247129173251,0.0002573748633112848,0.0018018189627232457,0.0,0.0,0.0026478802621903164,0.0008065053129268854,0.0,0.00018115703317727233
t-3,0.0010370127554558935,0.0006668223970422142,0.0,0.0017455782160061884,0.0,0.019202371110982636,0.00864952309340513,0.00035834597866672675,0.0015978657677627925,0.0018393024712069015,0.0013107340183242016,0.0,0.0,0.00042718210116974876,0.0,0.0004240643115290901,0.0,0.0,0.0006641963589446814,0.001974739914865488,0.0004629252652631004,0.0,0.0034152873104954062,0.0,0.0,0.003646102429945382,0.0011539942495016687,0.00019242718403386636,0.003142031896374558
t-2,0.0007575111973968179,0.00260886628513816,0.0,0.0056446409353222175,0.0004230713217365765,0.019609687976142744,0.0024330747112917273,0.0010737604053934929,0.0006852724281644682,0.0028143544344495118,0.0035582048204959816,0.00025118025036058035,0.000931446252412641,0.0,0.0,0.0,0.00039287053215508185,0.0,0.0007207901081707251,0.0007698756402868594,0.0005810604418993824,0.0007006800508366273,0.0026542070247312067,0.0003641892153689011,0.0,0.0031440105449135817,0.001177294117439349,0.0,0.002699421111359001
t-1,0.0005213563040106446,0.006226344873465689,0.0,0.009249776219282612,0.0029021478991529855,0.019146969088724278,0.0006058261764155265,0.0009446725879924578,0.0035200463229652155,0.008258799142443277,0.0040181038775092695,0.0005267991099156468,0.0016423418247088432,0.0,0.00023371047052216903,0.0,0.001837171644963168,0.00044794821314559865,0.0,0.001494848063683859,0.0008633232455994175,0.0,0.0013353046599999293,0.0012665901687096048,0.0,0.008757805927720335,0.0017870859378920345,0.0,0.005628594231715178
t-0,0.027504370280363642,0.0032147892866019536,0.0,0.005205419655405255,0.003940961638617316,0.00609658082720428,0.003491278659102838,0.02197878467799492,0.006307580653089009,0.01955127092273532,0.0029137836379813983,0.004271559394273294,0.0025274938867711526,0.0006842117377486807,0.003918670146403726,0.000713570489689825,0.0001817946138091814,0.0036097470312820173,0.0008296648294777828,0.002555149681588076,0.007607583466318184,0.0033484747011281236,0.0030714345831935157,0.010818131279793163,0.0029457308093312072,0.00996363253611821,0.0015168272238765537,0.0,0.011895399486895036
